,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,Country,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,BBI_wickets,BBI_runs,career_span_yrs
2045,Seth Hayden Arnold Rance,1987-08-23,36,Right hand Bat,Right arm Medium,Bowler,4,NewZealand,8,2017-2019,10,8,3.33,0,10,24.5,0,0,0,-21.16,4,3,3,26,2
2048,Rachin Ravindra,1999-11-18,24,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,5,NewZealand,19,2021-2024,146,26,12.16,0,11,22.45,0,9,0,-10.28,9,8,3,22,3
2049,Michael James Grattan Rippon,1991-09-14,32,Right hand Bat,Left arm Wrist spin,Allrounder,13,NewZealand,19,2013-2022,216,42,30.85,0,17,20.41,0,4,0,10.44,10,8,3,8,9
2052,Hannah Maree Rowe,1996-10-03,27,Right hand Bat,Right arm Medium,Bowler,3,NewZealand,41,2015-2023,146,33,18.25,0,20,25.1,0,14,0,-6.85,26,14,3,18,8
2055,Jesse Daniel Ryder,1984-08-06,39,Left hand Bat,Right arm Medium,Allrounder,13,NewZealand,22,2008-2014,457,62,22.85,0,2,34.0,0,7,0,-11.15,15,6,1,2,6
2058,Mitchell Josef Santner,1992-02-05,32,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,15,NewZealand,97,2015-2024,643,77,16.48,0,106,22.3,0,38,0,-5.81,55,35,4,11,9
2059,Amy Ella Satterthwaite,1986-10-07,37,Left hand Bat,Right arm Offbreak,Top order Batter,3,NewZealand,111,2007-2021,1784,71,21.49,0,26,23.42,1,36,0,-1.92,62,47,6,17,14
2069,Inderbir Singh Sodhi,1992-10-31,31,Right hand Bat,Legbreak,Bowler,13,NewZealand,109,2014-2024,161,19,7.66,0,132,22.6,0,36,0,-14.93,61,39,4,28,10
2071,Timothy Grant Southee,1988-12-11,35,Right hand Bat,Right arm Medium fast,Bowler,12,NewZealand,122,2008-2024,303,39,11.65,0,157,22.82,2,64,0,-11.16,58,53,5,18,16
2077,Lea-Marie Maureen Tahuhu,1990-09-23,33,Right hand Bat,Right arm Medium fast,Bowler,6,NewZealand,80,2011-2023,173,27,9.61,0,78,19.05,0,18,0,-9.44,48,31,4,6,12
2084,Blair Marshall Tickner,1993-10-13,30,Right hand Bat,Right arm Medium fast,Bowler,4,NewZealand,18,2019-2023,11,5,5.5,0,19,28.21,0,2,0,-22.71,9,9,4,27,4
2094,Jessica Marie Watkin,1998-05-07,25,Right hand Bat,Right arm Offbreak,Batting Allrounder,3,NewZealand,9,2018-2018,118,77,16.85,0,7,18.85,0,1,0,-2.0,3,6,3,9,0
2102,Ben Matthew Wheeler,1991-11-10,32,Right hand Bat,Left arm Medium fast,Bowler,4,NewZealand,6,2017-2018,37,30,18.5,0,7,30.85,0,1,0,-12.35,3,3,2,16,1
2105,Kane Stuart Williamson,1990-08-08,33,Right hand Bat,Right arm Offbreak,Top order Batter,14,NewZealand,89,2011-2024,2547,95,33.96,0,6,27.33,0,44,0,6.62,46,40,2,16,13
2108,George Herrick Worker,1989-08-23,34,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,9,NewZealand,2,2015-2015,90,62,45.0,0,1,19.0,0,1,0,26.0,1,1,1,19,0
2113,Kyle John Abbott,1987-06-18,36,Right hand Bat,Right arm Fast medium,Bowler,15,SouthAfrica,21,2013-2016,23,9,11.5,0,26,22.26,0,7,0,-10.76,12,9,3,20,3
2133,Farhaan Behardien,1983-10-09,40,Right hand Bat,Right arm Fast medium,Batting Allrounder,7,SouthAfrica,38,2012-2018,518,64,32.37,0,3,9.0,0,14,0,23.37,19,19,2,15,6
2140,Anneke Elizabeth Bosch,1993-08-17,30,Right hand Bat,Right arm Medium,Batting Allrounder,3,SouthAfrica,33,2019-2024,551,67,25.04,0,8,23.0,0,9,0,2.04,12,19,2,11,5
2164,Gerald Coetzee,2000-10-02,23,Right hand Bat,Right arm Fast,Bowler,7,SouthAfrica,4,2023-2023,25,13,8.33,0,6,23.33,0,1,0,-15.0,1,3,3,32,0
2172,Carl Junior Dala,1989-12-29,34,Right hand Bat,Right arm Medium,Bowler,7,SouthAfrica,10,2018-2021,19,12,19.0,0,13,23.61,0,3,0,-4.61,5,5,3,35,3
2174,Moseline Rochelle Daniels,1990-02-01,34,Left hand Bat,Left arm Medium,Bowler,4,SouthAfrica,40,2010-2019,20,8,5.0,0,28,23.64,0,8,0,-18.64,19,20,3,13,9
2178,Nadine de Klerk,2000-01-16,24,Right hand Bat,Right arm Medium,Allrounder,5,SouthAfrica,48,2018-2024,439,37,27.43,0,37,23.21,0,9,0,4.22,21,24,3,7,6
2197,Jean-Paul Duminy,1984-04-14,39,Left hand Bat,Right arm Offbreak,Batting Allrounder,13,SouthAfrica,81,2007-2019,1934,96,38.68,0,21,28.52,0,35,0,10.15,51,28,3,18,12
2205,Bjorn Carl Fortuin,1994-10-21,29,Right hand Bat,Slow Left arm Orthodox,Bowler,8,SouthAfrica,17,2019-2023,52,17,7.42,0,17,23.23,0,5,0,-15.8,7,10,3,16,4
2208,Yolani Fourie,1989-10-12,34,Right hand Bat,Right arm Offbreak,Bowler,2,SouthAfrica,10,2014-2018,11,7,11.0,0,3,44.66,0,1,0,-33.66,4,6,2,20,4
2219,Beuran Eric Hendricks,1990-06-08,33,Left hand Bat,Left arm Fast medium,Bowler,11,SouthAfrica,19,2014-2021,18,12,6.0,0,25,25.08,0,4,0,-19.08,11,8,4,14,7
2227,Shabnim Ismail,1988-10-05,35,Left hand Bat,Right arm Fast medium,Bowler,11,SouthAfrica,113,2007-2023,186,20,7.15,0,123,18.62,2,36,0,-11.47,53,57,5,12,16
2231,Marco Jansen,2000-05-01,23,Right hand Bat,Left arm Medium fast,Bowling Allrounder,10,SouthAfrica,4,2022-2023,32,20,16.0,0,6,29.0,0,3,0,-13.0,2,2,3,52,1
2236,Marizanne Kapp,1990-01-04,34,Right hand Bat,Right arm Medium,Allrounder,9,SouthAfrica,100,2009-2024,1319,75,19.98,0,79,20.94,0,18,0,-0.96,50,46,4,6,15
2239,Ayabonga Khaka,1992-07-18,31,Right hand Bat,Right arm Medium,Bowler,6,SouthAfrica,57,2012-2024,32,8,10.66,0,49,26.16,0,11,0,-15.49,25,30,4,23,12
2245,Odine Kirsten,1994-07-28,29,Right hand Bat,Right arm Medium,Allrounder,3,SouthAfrica,2,2016-2016,5,3,5.0,0,1,45.0,0,1,0,-40.0,1,1,1,26,0
2247,Masabata Marie Klaas,1991-02-03,33,Right hand Bat,Right arm Medium,Bowler,2,SouthAfrica,63,2010-2024,41,12,3.72,0,41,32.82,0,10,0,-29.1,28,30,4,21,14
2249,Rory Keith Kleinveldt,1983-03-15,40,Right hand Bat,Right arm Fast medium,Bowler,6,SouthAfrica,6,2008-2013,25,22,25.0,0,9,19.22,0,1,0,5.77,3,3,3,18,5
2262,George Fredrik Linde,1991-12-04,32,Left hand Bat,Slow Left arm Orthodox,Allrounder,8,SouthAfrica,14,2020-2021,111,29,11.1,0,15,22.66,0,6,0,-11.56,6,8,3,23,1
2267,Sune Luus,1996-01-05,28,Right hand Bat,Legbreak,Allrounder,8,SouthAfrica,114,2012-2024,1231,71,21.22,0,49,22.04,2,39,0,-0.81,56,53,5,8,12
